"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 19 06:18:14 GMT 2022","Mon Dec 19 06:18:17 GMT 2022","3317","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #1)",""
"failed","Mon Dec 19 06:18:06 GMT 2022","Mon Dec 19 06:18:07 GMT 2022","958","","Jupiter Toys Cart Page","","","","Buys Products and validate prices, subtotal, total in Cart Page",""
"passed","Mon Dec 19 06:18:11 GMT 2022","Mon Dec 19 06:18:14 GMT 2022","2749","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate error messages for mandatory fields",""
"passed","Mon Dec 19 06:18:26 GMT 2022","Mon Dec 19 06:18:29 GMT 2022","2436","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #3)",""
"passed","Mon Dec 19 06:18:17 GMT 2022","Mon Dec 19 06:18:26 GMT 2022","9230","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #2)",""
"passed","Mon Dec 19 06:18:29 GMT 2022","Mon Dec 19 06:18:41 GMT 2022","12452","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #4)",""
"passed","Mon Dec 19 06:18:41 GMT 2022","Mon Dec 19 06:18:43 GMT 2022","2212","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #5)",""
