"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 19 06:56:34 GMT 2022","Mon Dec 19 06:56:45 GMT 2022","11225","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #5)",""
"passed","Mon Dec 19 06:56:11 GMT 2022","Mon Dec 19 06:56:14 GMT 2022","3429","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #1)",""
"passed","Mon Dec 19 06:56:26 GMT 2022","Mon Dec 19 06:56:34 GMT 2022","8218","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #4)",""
"passed","Mon Dec 19 06:56:00 GMT 2022","Mon Dec 19 06:56:04 GMT 2022","4088","","Jupiter Toys Cart Page","","","","Buys Products and validate prices, subtotal, total in Cart Page",""
"passed","Mon Dec 19 06:56:08 GMT 2022","Mon Dec 19 06:56:11 GMT 2022","2574","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate error messages for mandatory fields",""
"passed","Mon Dec 19 06:56:19 GMT 2022","Mon Dec 19 06:56:26 GMT 2022","6395","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #3)",""
"passed","Mon Dec 19 06:56:14 GMT 2022","Mon Dec 19 06:56:19 GMT 2022","5426","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #2)",""
