"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 19 05:53:04 GMT 2022","Mon Dec 19 05:53:08 GMT 2022","4004","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #3)",""
"passed","Mon Dec 19 05:52:35 GMT 2022","Mon Dec 19 05:52:39 GMT 2022","3870","","Jupiter Toys Cart Page","","","","Buys Products and validate prices, subtotal, total in Cart Page",""
"passed","Mon Dec 19 05:52:43 GMT 2022","Mon Dec 19 05:52:45 GMT 2022","2717","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate error messages for mandatory fields",""
"passed","Mon Dec 19 05:53:10 GMT 2022","Mon Dec 19 05:53:12 GMT 2022","2135","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #5)",""
"passed","Mon Dec 19 05:52:45 GMT 2022","Mon Dec 19 05:52:50 GMT 2022","5121","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #1)",""
"passed","Mon Dec 19 05:52:50 GMT 2022","Mon Dec 19 05:53:04 GMT 2022","13413","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #2)",""
"passed","Mon Dec 19 05:53:08 GMT 2022","Mon Dec 19 05:53:10 GMT 2022","2414","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #4)",""
