"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 19 05:48:35 GMT 2022","Mon Dec 19 05:48:38 GMT 2022","3310","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate error messages for mandatory fields",""
"passed","Mon Dec 19 05:49:09 GMT 2022","Mon Dec 19 05:49:22 GMT 2022","12299","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #5)",""
"passed","Mon Dec 19 05:48:57 GMT 2022","Mon Dec 19 05:49:09 GMT 2022","12101","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #4)",""
"passed","Mon Dec 19 05:48:25 GMT 2022","Mon Dec 19 05:48:30 GMT 2022","4343","","Jupiter Toys Cart Page","","","","Buys Products and validate prices, subtotal, total in Cart Page",""
"passed","Mon Dec 19 05:48:46 GMT 2022","Mon Dec 19 05:48:53 GMT 2022","7691","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #2)",""
"passed","Mon Dec 19 05:48:53 GMT 2022","Mon Dec 19 05:48:57 GMT 2022","3739","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #3)",""
"passed","Mon Dec 19 05:48:38 GMT 2022","Mon Dec 19 05:48:46 GMT 2022","7649","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #1)",""
