"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 19 06:30:24 GMT 2022","Mon Dec 19 06:30:33 GMT 2022","9061","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #4)",""
"passed","Mon Dec 19 06:30:13 GMT 2022","Mon Dec 19 06:30:17 GMT 2022","4027","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #2)",""
"passed","Mon Dec 19 06:30:18 GMT 2022","Mon Dec 19 06:30:24 GMT 2022","6880","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #3)",""
"passed","Mon Dec 19 06:30:05 GMT 2022","Mon Dec 19 06:30:08 GMT 2022","3343","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate error messages for mandatory fields",""
"passed","Mon Dec 19 06:30:33 GMT 2022","Mon Dec 19 06:30:40 GMT 2022","6217","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #5)",""
"passed","Mon Dec 19 06:30:08 GMT 2022","Mon Dec 19 06:30:13 GMT 2022","5512","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #1)",""
"passed","Mon Dec 19 06:29:56 GMT 2022","Mon Dec 19 06:30:00 GMT 2022","4147","","Jupiter Toys Cart Page","","","","Buys Products and validate prices, subtotal, total in Cart Page",""
