"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 27 06:31:08 GMT 2022","Tue Dec 27 06:31:11 GMT 2022","2779","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #4)",""
"passed","Tue Dec 27 06:30:57 GMT 2022","Tue Dec 27 06:31:08 GMT 2022","11433","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #3)",""
"passed","Tue Dec 27 06:30:38 GMT 2022","Tue Dec 27 06:30:43 GMT 2022","4724","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #1)",""
"passed","Tue Dec 27 06:30:43 GMT 2022","Tue Dec 27 06:30:57 GMT 2022","14125","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #2)",""
"passed","Tue Dec 27 06:30:20 GMT 2022","Tue Dec 27 06:30:31 GMT 2022","10505","","Jupiter Toys Cart Page","","","","Buys Products and validate prices, subtotal, total in Cart Page",""
"passed","Tue Dec 27 06:30:34 GMT 2022","Tue Dec 27 06:30:38 GMT 2022","3719","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate error messages for mandatory fields",""
"passed","Tue Dec 27 06:31:11 GMT 2022","Tue Dec 27 06:31:26 GMT 2022","14422","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #5)",""
