"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 19 04:57:28 GMT 2022","Mon Dec 19 04:57:31 GMT 2022","3461","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate error messages for mandatory fields",""
"passed","Mon Dec 19 04:57:43 GMT 2022","Mon Dec 19 04:57:48 GMT 2022","4704","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #3)",""
"passed","Mon Dec 19 04:57:48 GMT 2022","Mon Dec 19 04:57:50 GMT 2022","2731","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #4)",""
"passed","Mon Dec 19 04:57:50 GMT 2022","Mon Dec 19 04:57:55 GMT 2022","4964","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #5)",""
"passed","Mon Dec 19 04:57:39 GMT 2022","Mon Dec 19 04:57:43 GMT 2022","3917","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #2)",""
"passed","Mon Dec 19 04:57:18 GMT 2022","Mon Dec 19 04:57:23 GMT 2022","5601","","Jupiter Toys Cart Page","","","","Buys Products and validate prices, subtotal, total in Cart Page",""
"passed","Mon Dec 19 04:57:31 GMT 2022","Mon Dec 19 04:57:39 GMT 2022","7618","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #1)",""
