"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 21 11:14:15 GMT 2022","Wed Dec 21 11:14:21 GMT 2022","6290","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #1)",""
"passed","Wed Dec 21 11:14:36 GMT 2022","Wed Dec 21 11:14:42 GMT 2022","5582","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #5)",""
"passed","Wed Dec 21 11:13:55 GMT 2022","Wed Dec 21 11:14:06 GMT 2022","11583","","Jupiter Toys Cart Page","","","","Buys Products and validate prices, subtotal, total in Cart Page",""
"passed","Wed Dec 21 11:14:11 GMT 2022","Wed Dec 21 11:14:15 GMT 2022","3794","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate error messages for mandatory fields",""
"passed","Wed Dec 21 11:14:27 GMT 2022","Wed Dec 21 11:14:36 GMT 2022","8571","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #4)",""
"passed","Wed Dec 21 11:14:21 GMT 2022","Wed Dec 21 11:14:24 GMT 2022","2323","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #2)",""
"passed","Wed Dec 21 11:14:24 GMT 2022","Wed Dec 21 11:14:27 GMT 2022","3708","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #3)",""
