"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 19 06:52:39 GMT 2022","Mon Dec 19 06:52:41 GMT 2022","2253","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #5)",""
"passed","Mon Dec 19 06:52:11 GMT 2022","Mon Dec 19 06:52:14 GMT 2022","3055","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate error messages for mandatory fields",""
"passed","Mon Dec 19 06:52:18 GMT 2022","Mon Dec 19 06:52:23 GMT 2022","5015","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #2)",""
"passed","Mon Dec 19 06:52:23 GMT 2022","Mon Dec 19 06:52:30 GMT 2022","6549","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #3)",""
"passed","Mon Dec 19 06:52:14 GMT 2022","Mon Dec 19 06:52:18 GMT 2022","4102","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #1)",""
"passed","Mon Dec 19 06:52:03 GMT 2022","Mon Dec 19 06:52:07 GMT 2022","3768","","Jupiter Toys Cart Page","","","","Buys Products and validate prices, subtotal, total in Cart Page",""
"passed","Mon Dec 19 06:52:30 GMT 2022","Mon Dec 19 06:52:39 GMT 2022","9348","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #4)",""
