"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 19 05:38:19 GMT 2022","Mon Dec 19 05:38:30 GMT 2022","11409","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #2)",""
"passed","Mon Dec 19 05:38:04 GMT 2022","Mon Dec 19 05:38:09 GMT 2022","4788","","Jupiter Toys Cart Page","","","","Buys Products and validate prices, subtotal, total in Cart Page",""
"passed","Mon Dec 19 05:38:46 GMT 2022","Mon Dec 19 05:38:49 GMT 2022","2365","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #5)",""
"passed","Mon Dec 19 05:38:30 GMT 2022","Mon Dec 19 05:38:34 GMT 2022","3841","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #3)",""
"passed","Mon Dec 19 05:38:15 GMT 2022","Mon Dec 19 05:38:19 GMT 2022","3364","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #1)",""
"passed","Mon Dec 19 05:38:34 GMT 2022","Mon Dec 19 05:38:46 GMT 2022","12397","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #4)",""
"passed","Mon Dec 19 05:38:13 GMT 2022","Mon Dec 19 05:38:15 GMT 2022","2551","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate error messages for mandatory fields",""
