"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 19 06:23:13 GMT 2022","Mon Dec 19 06:23:16 GMT 2022","3469","","Jupiter Toys Cart Page","","","","Buys Products and validate prices, subtotal, total in Cart Page",""
"passed","Mon Dec 19 06:23:42 GMT 2022","Mon Dec 19 06:23:45 GMT 2022","3193","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #4)",""
"passed","Mon Dec 19 06:23:20 GMT 2022","Mon Dec 19 06:23:23 GMT 2022","3026","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate error messages for mandatory fields",""
"passed","Mon Dec 19 06:23:35 GMT 2022","Mon Dec 19 06:23:42 GMT 2022","7173","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #3)",""
"passed","Mon Dec 19 06:23:45 GMT 2022","Mon Dec 19 06:23:57 GMT 2022","11600","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #5)",""
"passed","Mon Dec 19 06:23:23 GMT 2022","Mon Dec 19 06:23:32 GMT 2022","9427","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #1)",""
"passed","Mon Dec 19 06:23:32 GMT 2022","Mon Dec 19 06:23:35 GMT 2022","2192","","Jupiter Toys Contact Page","","","","Navigates to Contact Page and validate successful submission (example #2)",""
